Ticker,Company_Name,Last_Date,Last_Price,Stage,Signal,Detect_Date,Detect_Price,Note,RSI,Prev_RSI,RSI_Diff,RSI_Drop_Pct,RSI_30_Gap,RSI_20_Gap,RSI_Depth,RSI_Down_Streak,RSI_Rank20,RSI_Zscore20,BB_Days,BB_Close_Ratio,BB_Touch_Ratio,Lower_Shadow_Pct,Volume_Ratio,Exit_Dist_Pct,Upper_Shadow_Pct,Filter_Group_Id,Filter_Target_Index,Filter_Relative_Pos,Group_Id,Buy_Price,Target_Profit
8111.T,GOLDWIN INC,2026-06-05,2091.5,3rd_VALLEY,BID,2026-02-06,2462.5,Valley+LowerShadow+VolumeSpike,27.75,31.11,-3.36,-10.79,2.25,7.75,3.36,2.0,5.6,-1.45,24.0,0.0,0.08,2.73,2.88,-1.84,3.13,475,18374,0,475,2462.5,0
8143.T,LAPINE CO,2026-06-05,177.0,3rd_VALLEY,BID,2026-03-09,192.0,Valley+LowerShadow+VolumeSpike,29.96,38.67,-8.71,-22.53,0.04,9.96,8.71,2.0,5.0,-2.15,2.0,1.0,1.0,2.67,3.86,-4.61,2.04,476,18486,0,476,192.0,0
8225.T,TAKACHIHO CO LTD,2026-06-05,3275.0,3rd_VALLEY,BID,2026-04-03,3255.0,Valley+LowerShadow+VolumeSpike,29.09,40.08,-10.98,-27.41,0.91,9.09,10.98,2.0,5.0,-3.19,2.0,1.0,1.0,3.01,3.23,-4.28,2.06,481,18690,0,481,3255.0,1
8281.T,XEBIO HOLDINGS CO LTD,2026-06-05,1027.0,3rd_VALLEY,BID,2026-05-07,973.0,Valley+LowerShadow+VolumeSpike,28.24,32.82,-4.59,-13.98,1.76,8.24,4.59,2.0,5.0,-1.42,26.0,0.04,0.08,2.31,3.13,-3.02,3.75,484,18886,0,484,973.0,1
9162.T,BLEACH INC,2026-06-05,235.0,3rd_VALLEY,BID,2026-05-18,249.0,Valley+LowerShadow+VolumeSpike,25.97,45.46,-19.48,-42.86,4.03,5.97,19.48,1.0,5.0,-2.53,2.0,1.0,1.0,11.66,5.8,-3.33,6.11,491,20110,0,491,249.0,0
9171.T,KURIBAYASHI STEAMSHIP CO,2026-06-05,1758.0,3rd_VALLEY,BID,2026-02-06,1825.0,Valley+LowerShadow+VolumeSpike,29.27,32.76,-3.48,-10.63,0.73,9.27,3.48,4.0,20.0,-0.15,3.0,0.0,0.0,10.47,6.81,-3.34,3.52,493,20174,0,493,1825.0,1
9221.T,FULUHASHI EPO CORPORATION,2026-06-05,1157.0,3rd_VALLEY,BID,2026-03-30,1162.0,Valley+LowerShadow+VolumeSpike,29.96,30.87,-0.91,-2.96,0.04,9.96,0.91,3.0,5.0,-1.1,17.0,0.0,0.06,3.94,2.16,-3.77,2.06,496,20286,0,496,1162.0,1
9245.T,LIVERO INC,2026-06-05,1966.0,3rd_VALLEY,BID,2026-03-04,2248.0,Valley+LowerShadow+VolumeSpike,28.41,30.3,-1.89,-6.23,1.59,8.41,1.89,1.0,21.1,0.95,28.0,0.0,0.0,4.07,1.7,-3.62,2.32,502,20410,0,502,2248.0,0
9246.T,PROJECTHOLDINGS INC,2026-06-05,1009.0,3rd_VALLEY,BID,2026-04-06,1073.0,Valley+LowerShadow+VolumeSpike,24.57,34.26,-9.69,-28.28,5.43,4.57,9.69,3.0,5.0,-2.44,2.0,1.0,1.0,3.27,1.34,-4.51,3.49,503,20422,0,503,1073.0,0
9267.T,GENKY DRUGSTORES CO LTD,2026-06-05,3405.0,3rd_VALLEY,BID,2026-03-09,3900.0,Valley+LowerShadow+VolumeSpike,27.04,34.23,-7.19,-20.99,2.96,7.04,7.19,5.0,5.0,-1.94,2.0,0.0,0.0,2.63,1.56,-1.42,2.34,505,20490,0,505,3900.0,1
9327.T,E LOGIT CO LTD,2026-06-08,200.0,3rd_VALLEY,BID,2026-03-09,186.0,Valley+LowerShadow+VolumeSpike,29.04,34.63,-5.59,-16.13,0.96,9.04,5.59,4.0,5.0,-2.79,2.0,1.0,1.0,2.2,4.08,-0.47,5.6,509,20610,0,509,186.0,1
9343.T,IBIS INC,2026-06-05,792.0,3rd_VALLEY,BID,2026-02-16,646.0,Valley+LowerShadow+VolumeSpike,26.01,35.65,-9.64,-27.03,3.99,6.01,9.64,2.0,5.0,-2.23,2.0,1.0,1.0,5.73,1.55,-4.15,2.64,511,20682,0,511,646.0,1
9552.T,QUANTS RESEARCH INSTITUTE HOLDI,2026-06-05,1181.0,3rd_VALLEY,BID,2026-02-19,750.0,Valley+LowerShadow+VolumeSpike,19.72,34.44,-14.72,-42.74,10.28,-0.28,14.72,3.0,5.0,-1.95,2.0,1.0,1.0,3.45,2.71,-3.96,2.28,516,21158,0,516,750.0,0
9603.T,H I S CO LTD,2026-06-05,1067.0,3rd_VALLEY,BID,2026-03-09,1140.0,Valley+LowerShadow+VolumeSpike,27.74,34.43,-6.7,-19.45,2.26,7.74,6.7,2.0,5.0,-2.62,2.0,1.0,1.0,2.89,1.84,-2.9,2.59,521,21282,0,521,1140.0,0
9628.T,SAN HOLDINGS INC JAPAN,2026-06-08,1351.0,3rd_VALLEY,BID,2026-05-20,1356.0,Valley+LowerShadow+VolumeSpike,29.64,37.14,-7.5,-20.2,0.36,9.64,7.5,2.0,5.0,-2.05,2.0,1.0,1.0,2.81,1.35,-3.35,2.82,522,21350,0,522,1356.0,0
9691.T,RYOMO SYSTEMS CO,2026-06-05,5180.0,3rd_VALLEY,BID,2026-03-23,3595.0,Valley+LowerShadow+VolumeSpike,29.6,33.02,-3.42,-10.36,0.4,9.6,3.42,3.0,5.0,-1.93,2.0,1.0,1.0,2.71,1.47,-3.8,2.89,527,21522,0,527,3595.0,1
9753.T,IX KNOWLEDGE INC,2026-06-05,1243.0,3rd_VALLEY,BID,2026-03-30,1300.0,Valley+LowerShadow+VolumeSpike,28.91,42.14,-13.23,-31.4,1.09,8.91,13.23,1.0,5.0,-1.9,2.0,1.0,1.0,2.36,1.38,-4.88,2.95,529,21714,0,529,1300.0,0
9760.T,SHINGAKUKAI HOLDINGS CO LTD,2026-06-08,111.0,3rd_VALLEY,BID,2026-03-27,150.0,Valley+LowerShadow+VolumeSpike,28.97,39.24,-10.27,-26.17,1.03,8.97,10.27,1.0,5.0,-3.07,2.0,0.5,0.5,4.9,5.28,-2.74,7.14,530,21742,0,530,150.0,0
